日期	收盘	开盘	高	低	交易量	涨跌幅
2021年7月8日	"32,960.00"	"34,200.00"	"34,300.00"	"32,040.00"	5.75K	-5.01%
2021年7月9日	"33,455.00"	"32,680.00"	"33,740.00"	"32,295.00"	2.66K	1.50%
2021年7月11日	"34,317.50"	"34,600.00"	"34,685.00"	"34,237.50"	-	2.58%
2021年7月12日	"32,760.00"	"34,430.00"	"34,830.00"	"32,600.00"	3.83K	-4.54%
2021年7月13日	"32,215.00"	"32,830.00"	"33,330.00"	"32,150.00"	3.08K	-1.66%
2021年7月14日	"32,740.00"	"32,535.00"	"33,195.00"	"31,515.00"	3.55K	1.63%
2021年7月15日	"31,410.00"	"32,930.00"	"33,180.00"	"30,970.00"	6.73K	-4.06%
2021年7月16日	"31,925.00"	"31,700.00"	"32,205.00"	"30,960.00"	4.09K	1.64%
2021年7月18日	"31,740.00"	"31,770.00"	"31,882.50"	"31,377.50"	-	-0.58%
2021年7月19日	"30,690.00"	"31,760.00"	"31,860.00"	"30,280.00"	3.95K	-3.31%
2021年7月20日	"29,715.00"	"30,680.00"	"31,015.00"	"29,215.00"	4.34K	-3.18%
2021年7月21日	"31,620.00"	"29,625.00"	"32,830.00"	"29,435.00"	9.99K	6.41%
2021年7月22日	"32,415.00"	"31,920.00"	"32,590.00"	"31,680.00"	3.23K	2.51%
2021年7月23日	"32,270.00"	"32,180.00"	"32,930.00"	"31,980.00"	2.50K	-0.45%
2021年7月26日	"39,480.00"	"34,475.00"	"40,580.00"	"34,420.00"	17.25K	22.34%
2021年7月27日	"37,890.00"	"37,090.00"	"38,795.00"	"36,425.00"	7.58K	-4.03%
2021年7月28日	"40,370.00"	"38,340.00"	"40,940.00"	"38,150.00"	10.48K	6.55%
2021年7月29日	"39,675.00"	"40,165.00"	"40,650.00"	"39,290.00"	6.10K	-1.72%
2021年7月30日	"39,020.90"	"39,640.00"	"40,240.00"	"38,455.00"	0.41K	-1.65%
2021年8月1日	"39,960.00"	"41,287.50"	"41,480.00"	"39,470.00"	-	2.41%
2021年8月2日	"39,180.00"	"41,185.00"	"41,500.00"	"38,715.00"	4.78K	-1.95%
2021年8月3日	"37,965.00"	"39,180.00"	"39,830.00"	"37,580.00"	5.44K	-3.10%
2021年8月4日	"39,840.00"	"38,265.00"	"39,945.00"	"37,465.00"	3.67K	4.94%
2021年8月5日	"40,755.00"	"39,940.00"	"41,480.00"	"37,300.00"	6.71K	2.30%
2021年8月6日	"42,970.00"	"41,095.00"	"43,430.00"	"39,910.00"	6.63K	5.43%
2021年8月8日	"43,917.50"	"42,820.00"	"44,707.50"	"42,820.00"	-	2.21%
2021年8月9日	"46,045.00"	"44,255.00"	"46,520.00"	"42,890.00"	7.17K	4.84%
2021年8月10日	"45,495.00"	"45,760.00"	"46,800.00"	"44,650.00"	5.33K	-1.19%
2021年8月11日	"46,455.00"	"45,755.00"	"46,835.00"	"45,250.00"	3.45K	2.11%
2021年8月12日	"44,360.00"	"46,315.00"	"46,315.00"	"43,780.00"	5.19K	-4.51%
2021年8月13日	"46,505.00"	"44,310.00"	"48,005.00"	"43,830.00"	-	4.84%
